ds,y,he
2000-12-31,28.5,4.63926125
2001-12-31,28.4,4.8036828
2002-12-31,28.1,4.95862436
2003-12-31,27.9,5.16911125
2004-12-31,27.5,5.3449378
2005-12-31,27.1,5.31436777
2006-12-31,26.5,5.87344599
2007-12-31,26,5.99706984
2008-12-31,25.5,6.04985666
2009-12-31,24.9,6.02780771
2010-12-31,24.5,6.11675072
2011-12-31,24.1,5.81170416
2012-12-31,23.7,5.61369753
2013-12-31,23.4,5.51942348
2014-12-31,23.1,5.45934105
2015-12-31,22.7,5.21938848
2016-12-31,22.3,5.14090538
2017-12-31,21.9,4.8369956
2018-12-31,21.5,5.16729498