year,value
1960,51.156
1961,51.068
1962,50.976
1963,50.887
1964,50.807
1965,50.748
1966,50.723
1967,50.731
1968,50.768
1969,50.825
1970,50.887
1971,50.938
1972,50.958
1973,50.935
1974,50.859
1975,50.732
1976,50.56
1977,50.356
1978,50.125
1979,49.863
1980,49.564
1981,49.219
1982,48.817
1983,48.349
1984,47.808
1985,47.171
1986,46.409
1987,45.529
1988,44.56
1989,43.544
1990,42.56
1991,41.698
1992,41.015
1993,40.542
1994,40.28
1995,40.196
1996,40.226
1997,40.282
1998,40.289
1999,40.212
2000,40.037
2001,39.777
2002,39.468
2003,39.135
2004,38.773
2005,38.366
2006,37.89
2007,37.33
2008,36.678
2009,35.942
2010,35.128
2011,34.249
2012,33.333
2013,32.415
2014,31.522
2015,30.688
2016,29.943
2017,29.296
2018,28.748
2019,28.298